FIRMDUM1,FIRMDUM2,FIRMDUM3,FIRMDUM4,FIRMDUM5,FIRMDUM6,FIRMDUM7,InFreqGT1Deg,InCloseGT1Deg,RCP1,RCP2,RCP3,RWD1,RWD2,RWD3,RWD4,KTF1,KTF2,KTF3,KTF4,KTF5,KTF6,TNR,CMPTNR,JOBTNR,SEX,AGE,RCP,RWD,KTF,OutGT1OutExpAvg,Centrality
0,0,0,0,0,0,0,42.5,92.5,5,5,5,3,4,4,4,3,4,4,5,5,4,97,97,97,1,34,5,3.75,4.166666666666667,1.625,67.5
0,0,0,0,0,0,0,60,97.5,7,7,7,5,5,5,5,5,6,5,5,6,6,181,181,181,1,40,7,5,5.5,4.107142857,78.75
0,0,0,0,0,0,0,72.5,100,6,7,6,1,1,1,1,5,4,7,7,7,7,110,25,75,1,33,6.333333333333333,1,6.166666666666667,2.95,86.25
0,0,0,0,0,0,0,37.5,97.5,6,6,6,2,3,5,5,3,3,5,5,5,4,31,31,12,1,30,6,3.75,4.166666666666667,2.358974359,67.5
0,0,0,0,0,0,0,65,100,6,6,6,2,2,4,3,6,4,6,6,6,6,73,73,65,1,32,6,2.75,5.666666666666667,1.625,82.5
0,0,0,0,0,0,0,52.5,100,7,7,7,5,4,4,4,6,6,7,7,7,7,73,73,38,1,32,7,4.25,6.666666666666667,1.743589744,76.25
0,0,0,0,0,0,0,42.5,97.5,7,7,7,5,5,7,7,5,5,7,7,7,7,12,12,12,1,26,7,6,6.333333333333333,4.157894737,70
0,0,0,0,0,0,0,30,92.5,7,6,6,4,5,5,5,7,4,7,7,7,6,24,24,12,1,30,6.333333333333333,4.75,6.333333333333333,4.666666667,61.25
0,0,0,0,0,0,0,47.5,100,7,7,7,5,4,6,6,5,4,7,7,7,6,49,49,25,1,30,7,5.25,6,2.538461538,73.75
0,0,0,0,0,0,0,47.5,90,6,6,6,4,4,4,4,4,4,6,6,6,5,86,62,48,1,34,6,4,5.166666666666667,3.7,68.75
0,0,0,0,0,0,0,45,90,6,5,6,1,1,2,1,4,2,5,6,6,6,26,26,12,2,26,5.666666666666667,1.25,4.833333333333333,3.666666667,67.5
0,0,0,0,0,0,0,60,95,7,7,7,2,4,6,6,2,4,6,6,7,4,120,120,120,1,35,7,4.5,4.833333333333333,3.761904762,77.5
0,0,0,0,0,0,0,35,100,7,7,7,7,7,7,7,5,5,7,7,7,7,60,60,60,1,30,7,7,6.333333333333333,4.2,67.5
0,0,0,0,0,0,0,50,100,5,6,6,3,4,4,3,3,4,5,4,5,5,97,45,45,1,31,5.666666666666667,3.5,4.333333333333333,3.807692308,75
0,0,0,0,0,0,0,52.5,97.5,7,6,6,4,4,4,4,7,2,7,5,6,6,30,30,24,2,26,6.333333333333333,4,5.5,2.9,75
0,0,0,0,0,0,0,55,97.5,7,7,7,1,2,7,2,4,5,7,7,7,7,144,144,144,1,38,7,3,6.166666666666667,2.205882353,76.25
0,0,0,0,0,0,0,35,90,7,7,5,6,6,6,6,7,6,7,7,7,7,267,267,267,1,47,6.333333333333333,6,6.833333333333333,2.785714286,62.5
0,0,0,0,0,0,0,55,100,3,5,2,7,6,7,6,1,2,6,6,7,7,15,15,15,1,30,3.3333333333333335,6.5,4.833333333333333,4.473684211,77.5
0,0,0,0,0,0,0,85,97.5,7,7,7,2,2,3,3,4,6,6,6,6,5,187,187,48,1,41,7,2.5,5.5,4.208333333,91.25
0,0,0,0,0,0,0,65,97.5,7,7,7,5,7,7,7,7,6,6,6,7,7,276,276,276,1,NA,7,6.5,6.5,2.564102564,81.25
